num_atoms,num_parts,num_mp,energy_error_abs,energy_error_pct,forces_error_max,forces_error_mae,forces_error_mape,forces_error_ratio,forces_error_mse,forces_error_rms,benchmark_time,all_partition_time,avg_partition_time
192,20,2,0.0,0.0,5.066394805908203e-07,1.0411589812520106e-07,11.594589799642563,4.90676e-07,2.027176847609405e-14,1.4237896550639562e-07,2.3338797092437744,0.7162471532821655,0.03581235766410827
192,20,3,0.0,0.0,6.258487701416016e-07,9.96975515477061e-08,13.673549890518188,4.708888e-07,1.9536281297663667e-14,1.397722542151314e-07,0.10568420886993408,0.688996410369873,0.03444982051849365
192,20,4,0.0,0.0,7.40343239158392e-07,9.881611617856834e-08,17.189353704452515,4.6248545e-07,1.9348421248423925e-14,1.3909860285821196e-07,0.07520558834075927,0.6964353322982789,0.03482176661491394
192,20,5,0.0,0.0,5.960464477539062e-07,1.100214106486419e-07,9.762755036354065,5.1503383e-07,2.3379723789016156e-14,1.5290429189462884e-07,0.07409036159515381,0.6918409109115601,0.034592045545578
192,20,6,0.0,0.0,5.666331617248943e-07,9.92127624499517e-08,23.242227733135223,4.6474193e-07,1.960381862268004e-14,1.4001363979332382e-07,0.0714827299118042,0.6971662521362304,0.03485831260681152
192,20,7,0.0,0.0,7.748603820800781e-07,9.262529232501038e-08,10.322649776935577,4.45557e-07,1.8598007655397028e-14,1.3637450990700017e-07,0.08056116104125977,0.7199491262435913,0.035997456312179564
768,20,2,0.02392578125,0.0006278026830841554,0.1504630446434021,0.017892951145768166,3992.366409301758,0.08562031,0.0009319304372183979,0.03052753582596779,0.2662153959274292,1.1052116870880129,0.05526058435440064
768,20,3,0.00048828125,1.2812299132747285e-05,0.020045459270477295,0.0007251540664583445,23.682686686515808,0.0033656787,4.03580634156242e-06,0.0020089317113161087,0.1286100149154663,1.4842759132385255,0.07421379566192628
768,20,4,0.0009765625,2.5624595423323626e-05,5.960464477539062e-07,1.0213113199597501e-07,11.478057503700256,4.82803e-07,1.97967642577351e-14,1.40700976203334e-07,0.11988193988800049,1.627138638496399,0.08135693192481995
768,20,5,0.00048828125,1.2812299132747285e-05,6.569083552676602e-07,9.817384238886007e-08,13.913503289222717,4.6660094e-07,1.9168836711078857e-14,1.384515684321741e-07,0.12567074298858644,1.6236557960510254,0.08118278980255127
768,20,6,0.0009765625,2.5624595423323626e-05,6.258487701416016e-07,9.735784800568581e-08,48.48271906375885,4.600154e-07,1.801312632312025e-14,1.342129820613991e-07,0.11974806785583496,1.6312522888183594,0.08156261444091797
768,20,7,0.00048828125,1.2812299132747285e-05,6.258487701416016e-07,9.772736575541785e-08,17.608250677585602,4.6136935e-07,1.8192072197623088e-14,1.3487799321865168e-07,0.11974112987518311,1.6339929819107055,0.08169964909553527
1536,20,2,0.02294921875,0.0003010903355971095,0.1438499093055725,0.01371610164642334,544536.767578125,0.06563614,0.000543172296602279,0.02330605685710907,0.19133522510528564,1.5544552326202394,0.07772276163101197
1536,20,3,0.0029296875,3.843706508632749e-05,0.011935651302337646,0.00029259288567118347,4006.2026977539062,0.0013849366,5.85485395276919e-07,0.0007651701453141868,0.19395434856414795,2.5150370597839355,0.12575185298919678
1536,20,4,0.0029296875,3.843706508632749e-05,7.152557373046875e-07,1.0268637851140738e-07,12.171988934278488,4.851317e-07,1.986210607335219e-14,1.4093298261741438e-07,0.18106296062469482,2.7947569370269774,0.13973784685134888
1536,20,5,0.0029296875,3.843706508632749e-05,6.556510925292969e-07,9.932398370438023e-08,141.20670557022095,4.6933405e-07,1.8785434023767776e-14,1.3705997048418794e-07,0.18329310417175293,2.8270576953887936,0.1413528847694397
1536,20,6,0.0029296875,3.843706508632749e-05,6.854534149169922e-07,9.682613466566181e-08,10.745421797037125,4.5897823e-07,1.8503104389920762e-14,1.3602611659280228e-07,0.1856273889541626,2.781984305381775,0.13909921526908875
1536,20,7,0.0029296875,3.843706508632749e-05,7.450580596923828e-07,1.0091233804132571e-07,12.528130412101746,4.7597277e-07,1.984026448177429e-14,1.4085547661579767e-07,0.19407668113708496,2.7701459884643556,0.13850729942321777
3456,20,2,0.12109375,0.0007060918960632989,0.15173518657684326,0.011079691350460052,372804.19921875,0.053373832,0.00045601034071296453,0.021354397758841515,0.3608121395111084,1.900981569290161,0.09504907846450805
3456,20,3,0.0078125,4.5554318717222486e-05,0.022183716297149658,0.0009252616437152028,2716.588020324707,0.004481035,5.157174655323615e-06,0.0022709413897246122,0.39511449337005616,3.04371771812439,0.1521858859062195
3456,20,4,0.0078125,4.5554318717222486e-05,0.001330047845840454,3.3375566999893636e-05,51.63721442222595,0.00015999442,1.4350588273259746e-08,0.00011979394184891135,0.3463716983795166,4.547276282310486,0.2273638141155243
3456,20,5,0.0078125,4.5554318717222486e-05,1.1026859283447266e-06,1.2991016262731137e-07,23.06193858385086,6.138455e-07,3.378407850782722e-14,1.8380445965249237e-07,0.3520599126815796,5.760191392898559,0.28800956964492797
3456,20,6,0.00390625,2.277715509535483e-05,7.152557373046875e-07,9.904761100187898e-08,28.10262143611908,4.6756165e-07,1.8799227108280865e-14,1.3711027690987976e-07,0.34683656692504883,5.932586574554445,0.29662932872772224
3456,20,7,0.005859375,3.416573690628866e-05,7.139635158637248e-07,9.963257241452084e-08,31.224647164344788,4.7185353e-07,1.9157699921888358e-14,1.3841133750247536e-07,0.36574227809906007,5.961817359924317,0.29809086799621587
5184,20,2,0.162109375,0.0006301585017354228,0.1653762310743332,0.010022584348917007,341460.0830078125,0.048023496,0.0003684302791953087,0.01919453777372837,0.5361161231994629,2.811821317672729,0.14059106588363646
5184,20,3,0.01953125,7.59227191338141e-05,0.02245229482650757,0.0007457452011294663,22735.34698486328,0.0036074063,3.958253273594892e-06,0.0019895359873771667,0.49947097301483157,4.726828384399414,0.2363414192199707
5184,20,4,0.021484375,8.351498195224849e-05,0.0013350844383239746,1.8311242456547916e-05,154.84412908554077,8.936827e-05,6.6340057891522974e-09,8.144940511556342e-05,0.48277597427368163,7.024395895004272,0.3512197947502136
5184,20,5,0.01953125,7.59227191338141e-05,1.1920928955078125e-06,1.3931079934081936e-07,15.508982539176941,6.577196e-07,3.9227417158744365e-14,1.9805912643278134e-07,0.5174569606781005,8.735451292991637,0.43677256464958186
5184,20,6,0.0234375,9.110725045502477e-05,8.046627044677734e-07,9.880933049544183e-08,28.531473875045776,4.6776216e-07,1.8681870693438782e-14,1.3668163489910512e-07,0.48575291633605955,8.829880166053771,0.44149400830268853
5184,20,7,0.021484375,8.351498195224849e-05,6.556510925292969e-07,9.930069921892937e-08,39.50017988681793,4.7026714e-07,1.8953009327986672e-14,1.3766992879027384e-07,0.48416569232940676,8.958841037750245,0.44794205188751224
9216,20,2,0.0078125,1.7083341674606345e-05,0.15217429399490356,0.00794400367885828,156225.0732421875,0.03818001,0.00029163085855543613,0.01707720197737217,0.8713964700698853,3.4546414136886594,0.17273207068443297
9216,20,3,0.01171875,2.562501038028131e-05,0.022302955389022827,0.0006058712606318295,4564.861679077148,0.0029238435,3.3378289572283393e-06,0.0018269725842401385,0.8181771993637085,5.426025915145874,0.27130129575729367
9216,20,4,0.00390625,8.541670126760437e-06,0.0013337135314941406,2.2422473193728365e-05,72.13290929794312,0.00010804889,9.576198500838018e-09,9.78580501396209e-05,0.8281054258346557,7.9687888622283936,0.39843944311141966
9216,20,5,0.00390625,8.541670126760437e-06,2.9325485229492188e-05,4.909915674033982e-07,24.35573637485504,2.336934e-06,4.256399052660065e-12,2.063104147964623e-06,0.8138589859008789,11.05216119289398,0.552608059644699
9216,20,6,0.00390625,8.541670126760437e-06,1.2814998626708984e-06,1.4582595042611501e-07,39.07141983509064,6.891121e-07,4.3282248580545427e-14,2.0804385769679357e-07,0.8442868709564209,14.461667990684509,0.7230833995342254
9216,20,7,0.00390625,8.541671547845908e-06,1.3709068298339844e-06,1.3400865839230391e-07,12.845633924007416,6.3439074e-07,3.655360180667387e-14,1.911899687456753e-07,0.8670340538024902,15.737020182609557,0.7868510091304779
12288,20,2,0.21875,0.0003587613491617958,0.15203681588172913,0.007346410769969225,779187.744140625,0.03531687,0.00022990794968791306,0.015162715688347816,1.204451036453247,4.884909129142761,0.24424545645713805
12288,20,3,0.01953125,3.203225844572444e-05,0.02219212055206299,0.0004625646397471428,992733.203125,0.002271401,1.9228941710025538e-06,0.0013866845984011889,1.1641581535339356,7.863161158561706,0.3931580579280853
12288,20,4,0.01953125,3.203225844572444e-05,0.0013300180435180664,1.525623429188272e-05,379.3415069580078,7.6415505e-05,4.910269524316391e-09,7.007331441855058e-05,1.149605965614319,11.737064456939695,0.5868532228469847
12288,20,5,0.01953125,3.203225844572444e-05,2.911686897277832e-05,3.3181194680764747e-07,24.04550462961197,1.621686e-06,1.814218371885834e-12,1.346929252576956e-06,1.12915096282959,16.116618418693545,0.8058309209346772
12288,20,6,0.01171875,1.92193581938227e-05,1.2516975402832031e-06,1.4996550135037978e-07,22.323931753635406,7.090262e-07,4.5365014506417237e-14,2.1299064201230067e-07,1.2046927213668823,20.17312955856323,1.0086564779281615
12288,20,7,0.02734375,4.4845157276540704e-05,1.1920928955078125e-06,1.1900317531399196e-07,32.03488886356354,5.627092e-07,2.8648107784677926e-14,1.6925751822327584e-07,1.217221736907959,21.134885311126705,1.0567442655563353
19200,20,2,0.40625,0.0004264105427864706,0.15298020839691162,0.0061178989708423615,669298.681640625,0.029326325,0.00020995621162001044,0.014489865861833096,1.6972725629806518,6.029694676399231,0.30148473381996155
19200,20,3,0.0625,6.560163683388964e-05,0.022296786308288574,0.0004247814940754324,42225.0732421875,0.0020460233,2.1273067432048265e-06,0.0014585289172828197,1.6959258317947388,9.191333508491518,0.45956667542457585
19200,20,4,0.09375,9.840244956649258e-05,0.0013307034969329834,1.4605835531256162e-05,159.9337339401245,6.98547e-05,5.99433036541086e-09,7.742305751889944e-05,1.71594078540802,13.141096115112306,0.6570548057556154
19200,20,5,0.1015625,0.0001066026584339852,2.9653310775756836e-05,3.6652755852628616e-07,18.77625733613968,1.7273378e-06,2.671878126733751e-12,1.6345881022061803e-06,1.6730287075042725,17.626907658576965,0.8813453829288482
19200,20,6,0.0859375,9.020223501465807e-05,1.341104507446289e-06,1.523516033330452e-07,16.31975919008255,7.195535e-07,4.652889537418506e-14,2.1570556896222115e-07,1.8336012840270997,22.69722716808319,1.1348613584041596
19200,20,7,0.09375,9.840244956649258e-05,1.4007091522216797e-06,1.4979096363276767e-07,52.99825668334961,7.076776e-07,4.494607878696884e-14,2.1200490607498068e-07,1.8445913791656494,28.327644634246823,1.4163822317123411
24000,20,2,0.296875,0.00024928481252572965,0.1535865068435669,0.005908388178795576,398124.755859375,0.028341712,0.00018427976465318352,0.013574968092143536,2.3947038650512695,7.679877972602845,0.3839938986301422
24000,20,3,0.0234375,1.9680378215980454e-05,0.022294610738754272,0.0003682454989757389,36429.937744140625,0.0017924544,1.6812139165267581e-06,0.001296616275794804,2.3789172172546387,12.056160163879394,0.6028080081939697
24000,20,4,0.046875,3.936075927413185e-05,0.0013332068920135498,1.2522958058980294e-05,198.4600305557251,6.157788e-05,4.6254666763445584e-09,6.801078416174278e-05,2.1221261739730837,17.17407546043396,0.8587037730216981
24000,20,5,0.046875,3.936075927413185e-05,2.9325485229492188e-05,3.3735156534930866e-07,15.398940443992615,1.6359171e-06,2.0495076989701655e-12,1.4316101442091167e-06,2.2647421598434447,23.386937332153316,1.1693468666076658
24000,20,6,0.03125,2.624050239319331e-05,1.3113021850585938e-06,1.5079527315720043e-07,78.91908884048462,7.133784e-07,4.5675079387089146e-14,2.137172856464531e-07,2.453853487968445,29.97813260555267,1.4989066302776335
24000,20,7,0.046875,3.936075927413185e-05,1.3709068298339844e-06,1.499224140388833e-07,26.732724905014038,7.084264e-07,4.565727475453786e-14,2.1367563363128284e-07,2.417493462562561,36.909651494026186,1.8454825747013093
34560,20,2,0.1875,0.00010932747045444557,0.15725454688072205,0.004988435655832291,141398.71826171875,0.023996064,0.00015677603369113058,0.012521023862063885,3.2996341705322267,9.064355301856994,0.45321776509284967
34560,20,3,0.171875,0.00010021682328442694,0.02222234010696411,0.000358083430910483,11246.339416503906,0.001738591,1.526138476037886e-06,0.0012353698257356882,3.2679797649383544,13.520974254608154,0.6760487127304077
34560,20,4,0.046875,2.733188182446611e-05,0.0013298988342285156,1.1408050340833142e-05,137.8011703491211,5.5571636e-05,3.809138782173704e-09,6.171822315081954e-05,3.331778335571289,18.31018843650818,0.9155094218254091
34560,20,5,0.1875,0.00010932743634839426,2.9355287551879883e-05,3.0916740456632397e-07,20.41575163602829,1.4848382e-06,1.6223459207986846e-12,1.273713451155345e-06,3.2942190885543825,24.09749999046326,1.204874999523163
34560,20,6,0.0625,3.644250341494626e-05,1.341104507446289e-06,1.5124851415748708e-07,17.638683319091797,7.152598e-07,4.553622697011164e-14,2.1339218392313342e-07,3.2935946464538572,30.670715236663817,1.5335357618331908
34560,20,7,0.078125,4.555312784759735e-05,1.2814998626708984e-06,1.5301834821457305e-07,18.90060603618622,7.2361945e-07,4.697851062698301e-14,2.1674526351489476e-07,3.3595842599868773,37.9001318693161,1.895006593465805
